Start Date,Duration (in seconds),"What is your key word? 

A reminder that the keys are case-sensitive.",Which session is this?,Were you allowed to use Ender for this session?,How familiar were you with the content of the paper prior to the reading?,Have you previously read this excerpt prior to today?,I had completed the reading in the allotted time.,How easy or difficult did you find this excerpt?,What percentage of the paper do you think you understand? - %,What is the main argument of the paper?,"How does Akerlof support this argument?


Please be as specific as possible in your answer.","In the excerpt, Akerlof focuses on two groups of traders. Briefly describe their difference and why this matters to the argument of the paper.","Akerlof won the Nobel Prize in 2001 for the paper from which this excerpt was taken. What do you think this paper contributed (to the field of Economics, or otherwise) to merit this award?","In the section following the excerpt, Akerlof writes, ""It is a well-known fact that people over 65 have great difficulty
in buying medical insurance. The natural question arises: why
doesn't the price rise to match the risk?"" Based off of the excerpt you read, what do you think was his answer to this question?","These are a set of equations you encountered in the excerpt. Please interpret, to the best of your ability, what they mean and their importance & relationship to the larger position of the excerpt.",What does p refer to in these equations?,What do the Ys refer to in these equations?,"This is another equation you encountered in the excerpt. Please interpret, to the best of your ability, what it means and its importance & relationship to the larger position of the excerpt.",What does M refer to in the equation?,What does x refer to in the equation?,What is the summation over in the equation?,Which session is this?,Were you allowed to use Ender for this session?,How familiar were you with the content of the paper prior to the reading?,Have you previously read this excerpt prior to today?,I had completed the reading in the allotted time.,How easy or difficult did you find this excerpt?,What percentage of the paper do you think you understand? - %,What is the main argument of the paper?,"How does Akerlof support this argument?


Please be as specific as possible in your answer.","In the excerpt, Akerlof focuses on three groups of people. Briefly describe how they are formed, their difference, and why this matters to the argument of the paper.","In the latter half of the excerpt, Akerlof focuses on the idea of caste-class equilibrium. What is the greater purpose of this section, and how can the principles he laid out be applied to another situation outside of the Caste system?","Akerlof writes in the introduction to this section the following:
""In Japan as merchants have become more economically successful, so too have the taboos against trade and manufacture been reduced [...] The best example of economic success reducing taboos is most probably, the elimination of the sanctions against collection of interest. The usurer of the Middle Ages has turned into the banker of today.""
Why did Akerlof include these examples in the introduction, and how is it related to the excerpt?","This an equation you encountered in the excerpt. Please interpret, to the best of your ability, what it means (with as much specificity of variables as possible) and its importance & relationship to the larger position of the excerpt.",What does k* refer to in the inequality?,What does the right side of the inequality represent? How (generally) did Akerlof reach this expression?,"What steps did Akerlof undergo to show the claim? (In other words, how did he build up to this claim?) Please be as specific as possible in your answer.","What is your key word? 

A reminder that the keys are case-sensitive.",Gender - Selected Choice,Gender - Other - Text,Graduation Year,Concentration,Secondary (if applicable),"On average, how many minutes a week do you spend reading text similar to the ones you've encountered","On average, how many pages a week do you read of text similar to the ones you've encountered during this study? 

Similar in this case refers to text with variables and equations that are central to the main positions of the paper.",Any additional comments/concerns
2020-03-08 13:46:38,2283,KILO2,Session One,Yes,Not familiar at all,No,Agree,Neither easy nor difficult,45,the main argument is that quality may decline in a market depending on the amount of information available between buyers and sellers,Akerlof supports this argument by describing the way in which the average value of an item may decline with various equations,the difference is in what they are selling,It showed predictive behavior in a market based on specific variables,There is a certain amount of information already known about the product that is medical insurance,"The set of equations relate to demand given a price, in relation to quality.",price,quality,This is one of the equations concerning one of the group of traders.,goods consumption,n/a,n/a,Session Two,No,Not familiar at all,No,Agree,Slightly easy,50,there are rules to equilibrium surrounding the caste system and the units of labor produced from it,he writes a proof and gives three distinct cases of the maintenance of equilibrium,"they are different caste labor groups, with specific rules to them","The greater purpose is the code system he shows, which can apply to other systems outside of the caste system, with similar hierarchical structures.",It seems to be related to the idea of the caste system and limitations on the production and value of labor attached to such a system. It implies that economic success comes from a reduction of such limitations and vice versa.,This equation was in relation to the breaking of equilibrium in using outcaste people for skilled labor.,some firm or product,n/a,He showed that no firm can make positive profit and bid a higher wage for labor by supposing so and showing the logic of it.,ALPHA1,Female,,2022,History of Art & Architecture,Computer Science,20,3,
2020-03-09 11:18:06,1564,FOXTROT2,Session One,Yes,Not familiar at all,No,Strongly agree,Slightly difficult,30,Mathematical deconstruction of market vs. demand and how there can be two groups,Comparing asymmetric and symmetric models,"In the first group, there is variability in the demand and in the second group, the demand is uniform; this difference is to institute realism in the model",A clear and simple mathematical basis for supply vs. demand,N/A,N/A,N/A,N/A,The cost of group 2,Consumption of other goods,Quality of the i-th car,The number of cars,Session Two,No,Not familiar at all,No,Agree,Moderately difficult,30,No individual can produce more than that produced in an equilibrium,He describes this idea in 4 different models ranging from technology to social structure,N/A,N/A,It relates to Akerlof's claim regarding equilibrium ,N/A,N/A,N/A,N/A,ALPHA1,Female,,2021,Computer Science,,120,30,
2020-03-09 11:38:30,2945,LIMA2,Session One,Yes,Moderately familiar,No,Agree,Neither easy nor difficult,65,"The simple equilibrium of supply-demand matching efficiency is complicated when there is information asymmetry, which will cause poor quality goods to be exchanged. ","Akerlof presents 2 utility functions where the first group sells N cars and the second has no cars to sell. The second case represents the info asymmetry, S2 = 0, then D2 = 0, effectively eliminating the market.","Group 1 has N cars to sell
Group 2 has 0 cars to sell
The difference represents the info asymmetry since group 2 sellers are not selling their cars in the market",The idea that information asymmetry not only leads to market inefficiency but also a reduction of the quality of goods exchanged.,"If there's a reduction in supply, the elderly believe that that is an indication of lower quality medical insurance",3 cases of demand based on the price of the car. The demand is a function of income and price for p < 3/2 and is always 0 if p > 3/2. Information about demand is critical to understanding the equilibrium point with supply.,price of car,income for groups 1 and 2,"Utility function group 2, which depends on M (consumption of other goods), x (quality of cars), and i (number of cars). Utility functions allow you to find the max (or min) of utility - ie the equilibrium point.",consumption of other goods,quality of cars,taking the total across the group,Session Two,No,Not familiar at all,No,Agree,Neither easy nor difficult,65,A coalition of k* firms can break caste equilibrium.,He shows that no firm can make positive or 0 profits and bid a higher wage for N labor or outcaste labor,"The three groups are skilled, unskilled, and scavenging laborers. Each type of labor produces a different product, which impacts price, utility, and the equilibrium.",He analyzes the conditions for a equilibrium-breaking coalition. This can be applied to other economies that have hierarchies and understanding the conditions that break the equilibrium in those economies.,"This is related to the ""tastes"" component that influence markets.",coalition of k* firms that produces k* different products ,number of places in the coalition,labor conditions that break the caste equilibrium ,N/A (don't remember),ALPHA1,Female,,2020,Applied Math,,0,0,"I haven't encountered econ papers like these in 2 years, but when I did, I spent maybe a couple of hours (2-3 hours) each week reading."
2020-03-09 13:06:28,2445,ALPHA2,Session One,No,Slightly familiar,No,Agree,Neither easy nor difficult,75,There are certain situations in which the quality of cars can worsen when there is information assymetry between the buyers and the sellers.,"Akerlof uses mathematical analysis/decision theory given two sets of assumptions to show this argument. In the first, he assumes asymmetrical information and shows that no cars would be sold despite the fact that there exists a condition where there are buyers willing to buy what the sellers are willing to sell. He contrasts this with the second, where both buyers and sellers have symmetric information to reach a supply-demand equilibrium.",The first group contains the sellers who want to sell N cars of varying qualities and the second group contains the buyers. Their difference is important to show each group's incentives and goals.,"He showed that uninformed consumers not only get cheated out of better deals, they also drive higher quality sellers out of the market and therefore hurt the reputation or devalue the market. The paper probably contributed to the importance of informing consumers.",Just rising the price would have unintended consequences on the market of medical insurance.,"The demand is 0 when the price is greater than 1.5. When it is between 1 and 1.5, the demand is the second group's utility(?) divided by the price. When the price is lower than 1, it is both group's utility divided by the price.",price,each group's utility,The utility of the second group is the sum of all other utility but the individual qualities of each of the N automobile.,Utility of all other goods consumed (not cars),x_i is the quality of the i'th automobile,The total quality of all automobiles,Session Two,Yes,Not familiar at all,No,Disagree,Slightly difficult,35,That the traditional structure of the caste system can be disrupted by sufficient organization of the outcastes of a high enough bid price for N labor,"Demonstrates the current equilibrium of the caste system given a first set of assumptions (no outcastes initially, etc.) and then gives an example of another equilibrium that is just as desirable. He then shows how a caste system may reach this second equilibrium.","The N laborers, who do skilled labor. The second group, which contains those who do unskilled labor. And the outcastes, who are scavengers. This matters because the analysis that follows is reliant on the assumptions that there are these two initial groups and each group must focus on their own labor for trade to occur.","N/A, was not able to fully read the argument of the latter half of the excerpt. ","He is demonstrating how views of a certain type of labor may change given changes in trade and production. This relates to the excerpt because he is suggesting that given particular situations, a group like the outcastes may be able to independently form their own economy and become successful, like the merchants of Japan.",The output of unskilled and scavenger labor divided by the ratio of unskilled and scavenger work (1- scavenger/skilled) should be less than some ideal k value.,N/A,"Theta_u, and theta_sc are units of output for unskilled and scavenger labor, respectively.","He showed that any wage higher than theta_sc for outcaste scavenger labor would not generate a profit through the analysis he did with those assumptions. However, he showed that if the outcaste group did skilled or unskilled jobs, producing theta_sk and theta_u units of output, a profit can be generated leading to a higher wage.",HOTEL1,Male,,2020,Computer Science,Mathematical Sciences,60,30,"There were a few typos in the instructions/text. LaTex might also be a good consideration to make the equations easier to read, especially with more ambiguous equations such as (1 - a/b)"
2020-03-09 13:07:30,2452,JULIETTE1,Session Two,No,Very familiar,No,Agree,Slightly difficult,82,The author was comparing supply/demand equilibrium for the cases when there is symmetric information and asymmetric information.,"He builds two models in a scenario of cars with two types of traders. One model of symmetric information and one of asymmetric information to produce the supply and demand curves, then equates the supply and demand to get the pricing for the cars.","Trader 1 has a utility function m + sum x_i and trader 2 has a utility function m + sum 3/2 x_i where the x_i is the utility of a car, and m is the utility non-car things consumed. Traders of type 2 get more utility from cars than traders of type 1. This matters because these are two traders with asymmetric desires with respect to cars as trader 2 gets more utility from cars.","I think this paper contributed to pricing theory. Also I have definitely heard of ""lemons"" in the single economics class I've taken. It indicates perhaps a paradox in economics.","When there's asymmetric desires, there is no equilibrium pricing.","This is a piecewise function for the demand of a car given its price. Y2 and Y1 are the incomes of traders of type 2 and 1 respectively and p is the price of the car. This tells us that traders of type 2 are willing to pay higher prices than traders of type 1, so demand changes as prices increases.",price of car,trader income,"This is the utility of the trader of type 2, which is how happy a trader is given what it is consuming. In this case, we scale the utility provided by a car by 3/2 over the utility function of a trader of type 2",utility from other goods (non car),utility of car,number of cars consumed / owned,Session One,Yes,Moderately familiar,No,Agree,Slightly difficult,70,"Authors proposed a model for equilibrium of wages between skilled, unskilled, and scavenger jobs.","There was a proof of when the equilibrium was broken via an inequality comparing an expression of a function the output of skilled, unskilled, scavenger jobs along with a parameter to k^*.","The three groups are different types of jobs -- unskilled, skilled, and scavenger. They are formed based on type of education and experience someone has in the workforce. They differ via some prototype of the types of jobs found in each group. This supports the argument on the effect of castes.",This section served to show that castes/classes must meet certain conditions to exist and be efficient and useful. The principles can be applied to determine whether co-existence of any groups is good or not.,"These are used to motivate the theorem he proposes with real life examples. Merchants and bankers are classes, and this speaks on the success of these groups in society with respect to their effectiveness in creating output.","theta_G is the output of a member of group G, and alpha is some parameter such that the numerator is greater than the denominator. This equation is a condition for equilibrium.",utility,an expression involving output,"first he said there was existence of equilibrium, then he showed the claim via casework",ALPHA2,Female,,2021,Math,,600,30,"For reading text similar, I am including not just research papers but also textbooks. For research papers only it'd be 120 minutes and 10 pages."
2020-03-09 13:29:43,2783,FOXTROT1,Session Two,No,Slightly familiar,No,Strongly agree,Moderately difficult,60,"We know that used cars can push out new cars, but in some cases no used cars will be sold, and in others two types of traders will benefit","Akerlof supports the argument with equations that show the inequalities for the utility of traders given demand, supply, and information.","The difference is the coefficient of utility from each lemon, which changes at which price point the traders are willing to purchase a lemon","This paper seems to combine behavioral economics with classical economics, showing that when buyers and sellers have asymmetric information, the equilibrium is a market of low-quality ""lemons""","An information asymmetry results in a market of only low-quality goods, in this case, a smaller supply of medical insurance for seniors","While the Ys aren't defined, I assumed that Y is the number of products (contrasted with their price). With this in mind, the first equation shows that demand is based of both trader demands when the price is under 1, the second equation shows that demand is only from the second trader when the price is between 1 and 1.5, and that neither trader demands used cars when the price is over 1.5, as expected from the setup of the traders.",price,quantity demanded,"This is the model for the utility of the second trader: they gain a utility from the consumption of other goods (M) plus the utility from all of their cars, which is equal to the number of cars times the quality of cars times a coefficient of 1.5.",utility from other goods,quality of car i,all the cars,Session One,Yes,Not familiar at all,No,Strongly agree,Slightly difficult,80,"that in a caste equilibrium, mathematically speaking, no single individual can make himself or herself better of","Given the assumption that there are three types of jobs, firms pay for what they expect to earn from employees people all try to maximize their utility, there are three types of groups corresponding to the jobs, and people are put it into the outcaste scavenger job group if they purchase from a firm that doesn't assign the ""right"" groups to the jobs, it will not benefit anyone to use outcaste labor in skilled jobs unless there are enough firms that will do it together (in a coalition)","In this scenario, there are three castes: dominant, nondominant, and outcaste. They are all formed by design. This matters because only dominant (D) caste members are allowed to perform skilled labor and only nondominant (N) caste members are allowed to perform unskilled labor: anyone who purchases skilled labor not performed by D or unskilled labor not performed by N becomes an outcaste.","The greater purpose of this section shows how the system is designed to create a mathematical equilibrium keeping the status quo, a social commentary which can be applied to aspects of real world society","Akerlof includes these examples to show that the people driving innovation and economic success were often outcastes, so figuring out the critical number of members that will support outcastes is important for predicting when and how taboos are reduced and economic growth correspondingly increases.","the minimum of the price of unskilled labor and scavenger labor divided by a times the ratio of normal price of goods (1) minus the cost of outcaste labor (sc) to the price of skilled labor. Essentially, the more scavenger labor costs (and the fewer scavengers there are), the bigger the coalition must be.",the number of firms producing a corresponding number of different products with outcaste labor in skilled jobs ,the minimum of the price of unskilled labor and scavenger labor divided by a times the ratio of normal price of goods (1) minus the cost of outcaste labor (sc) to the price of skilled labor. Akerlof reached this expression by trying to find what variable to change to break the equilibrium,"According to the scenario setup, firms pay labor for how much they are expected to get for that labor, so logically speaking, a firm must employ outcaste labor in skilled jobs to turn a profit.",ALPHA2,Male,,2023,undecided,,0,0,
2020-03-09 15:41:50,2119,ALPHA2,Session One,Yes,Not familiar at all,No,Somewhat agree,Extremely difficult,15,The quality of information distributed amongst the two groups of buyers directly affects the price and demand for used cars.,By showing a difference in price/demand equations as a result of asymmetric and symmetric information distribution. ,N/A,It demonstrated the effect of asymmetric/symmetric information on the price/demand for a given good. ,This risk is not evenly spread across all buyers over the age of 65.,N/A,price,N/A,N/A,N/A,N/A,N/A,Session Two,No,Not familiar at all,No,Somewhat disagree,Moderately difficult,25,N/A,N/A,"Skilled laborers, unskilled laborers, and scavengers

Assignment of these three groups are determined by caste Dominant (D), Non-dominant (N), and a third outcasted class.","Possibly to demonstrate that because caste-class equilibriums can be broken within a caste system, the same can occur more easily in a less structured economic system.","They both support the case that economic success can lead to a reduction in the poor or unfair treatment of specific groups of people. In the case of the intro, this refers to the taboo against Japanese merchants and in the case of the excerpt this is likely the treatment of N within the caste system. ",N/A,N/A,N/A,N/A,ALPHA1,Male,,2022,Technological & Social Innovation (special conc.),,0,0,
2020-03-09 17:11:28,3312,ALPHA1,Session Two,Yes,Slightly familiar,No,Somewhat agree,Slightly difficult,59,Problem of lemons is exasperated when there are tiered levels of quality in symmetric information.  ,He supports this argument using mathematical proofs to show the changes in supply and demand as quality and price shift.,"The two groups of traders are those who are selling the cars, and those who are buying. This is important to the overall argument of the paper because it sets up the foundation for the proofs he explains later on in the paper. The foundation being that the two groups are reactionary to changes in price and quality of the goods (which is conveyed in the resulting supply and demand for the cars)",This paper contributed a model that is more generalized than the classic problem of the case of lemons which assumed only two types of cars: good and bad quality. ,the price doesnt rise to match the risk because of the asymmetric flow of information between the medical insurance companies and the individuals over 65.,"The demand for a car given its price, is the income levels of group 1 + group 2 divided by the price when price is less than 1. Demand given price is income of group 2 divided by price when price is between 1 and 3/2. demand for a car is 0 given the price when p is greater than 3/2",price,income level between the two different groups,the quality of car of subset 2 are all the other goods + the 3/2(sum of all the cars from 1 to N),all other goods,car price,1 to all the cars,Session One,No,Not familiar at all,No,Strongly disagree,Neither easy nor difficult,60,"Caste economics/equilibrium can be broken if there is a large enough group of people who operate out of the caste system for their own benefit. This paper works to find that k* value which can be found by examining 4 elements: technology, social system, tastes, and trade.","Akerlof supports this argument by formalizing a proof to find the k* value. This value includes assumptions about the people in this system (dividing them up into workers who can work skilled, unskilled, and scavanger jobs) as well as the market (firms are profit maximizing and competitive, laborers can produce 1 good, peoples tastes make it such that they can want a variety of goods).","At birth they are divided into 3 castes that can perform Skilled, Unskilled, and Scavenger work. This is important because the basic premise for the Caste Equilibrium is that at the individual level, members of each caste can only perform that specific task or they will be outcast. Furthermore, this upholds the assumptions made early in the paper that states that a laborer can only produce 1 type of good, markets are competitive, and that each individual has tastes for more than 1 type of good. This creates a reliance on the caste structure that makes it impossible for one person to break equilibrium and ""perform"" at above equilibrium levels when not adhering to the caste expectations.","As explained in my previous answer, Caste-class equilibrium makes it such that one individual by themselves cannot act outside the expectations of their caste-class to achieve better than equilibrium levels of benefit. This is because caste-class determines what kind of work you are eligible to do and what goods you are able to produce. An assumption is that each laborer can only produce one type of good but has tastes for other goods as well. This creates a cycle of dependence on the others in the caste-class to produce their goods for trade. However, if a person breaks out of their caste-class expectations they will be exiled and unable to participate in this trade. Thus a large enough group of people with diversified skills will have to opt out of this caste system in order to break the caste-class equilibrium. 

This principle can be applied to any social structure in which placement in the social structure determines the kind of work one can do.","This is an example of a large enough group that operated outside of the caste-class equilibrium that allowed social hierarchical rules to be lightened. The group of merchants were able to work outside of their expected roles, thus allowing them to have better than equilibrium ""performance.""",the number that will break the caste-class equilibrium must be greater than blah blah blah i didnt read that,the number that will break the caste-class equilibrium ,yeah thank u for this Linda,uwu i love u ,ECHO2,Male,,2021,CS,Econ,1 hour,5-10,
2020-03-09 18:08:01,3153,DELTA1,Session Two,No,Not familiar at all,No,Agree,Moderately difficult,30,The main argument of the paper is trying to model the two factors that go into the used car market (price and qulaty of used cars) and thier potential for causing disruption in the overall supply/demand of the industry,He uses many mathematical models to try to predict outcomes of the events.,"The argument here is that buyers and sellers have different amounts of informaiton, and thus there is asymmetery. The buyer wont know all the full details about the true value of a product, and the seller will not share all the full details. This is critical as this creates the lemons problem described in the paper.","It is clear that the ""lemons problem"" or the notion of information asymmetry was a concept that was valuable to the field of economics as that is a marketplace wide issue that he describes distorts the value of most transactions. ","The information avialable to them and thier individual preferences and choices. Since they are older, they will want to buy it no matter what or are more likely to buy since they are more at risk, but they might not have full information since insurers will not disclose all that.",something about price and demand lool,price,Year?,Utility function of the second group.,NA,NA,NA,Session One,Yes,Slightly familiar,No,Agree,Moderately difficult,41,That the caste system in India breeds itself to create certain types of inequalities that can be modelled systematically using four variables as a proxy.,"He develops mathematical models to quantify the four variables he outlines as proxies to the issue, and tries to provide intuitive reasoning for why the models are accurate mathematical representations of the phenomenon. ","They are scavengers, skilled workers, and unskilled workers. Not sure how they are formed and their difference.","N/A
","He describes how using technology can be a pipeline to upward mobility later on in life, and that it can segway into something greater.","The theta subscript u variable = utility of labour N (unskilled jobs)
The theta subscript k variable = utility of labour D (skilled jobs)
1 = the price of all the goods made by all the firms using labour
The other one is the highest wage bid.

The importance to the overall project is that it serves as the model by which the others are interpreted.",it denotes the wage of a caste k,it represents a coalition of of many firms using many different products and outcase labour in skilled jobs,He used a proof to show that the outcaste labour. He had many parts of the proof from before and showed the utility utility is less than theta u.,ALPHA2,Male,,2022,CS + Neuro,,30,5,These were tough readings!
2020-03-09 18:08:55,3217,ECHO1,Session Two,No,Not familiar at all,No,Somewhat disagree,Moderately difficult,55,"It's possible for higher quality cars to be outcompeted by lower quality cars given certain price, demand, and supply.","Akerlof support this argument by creating mock conditions where lower quality cars could outcompete higher quality cars. He did this more specifically by creating two classes of traders, each with different pricing and demands.",One group has a higher weighting for car quality than the other in its utility function. This matters because it is used to show how these two groups can have different preferences with different quality and price cars.,"I think this paper contributed to the idea that price and quality were not the sole determining factors for consumers' preferences. demand can complicate things, and price and quality are often intertwined such that one dictates the other.","My best guess would that the risk isn't what determines the price, it's the demand for medical insurance amongst those over 65, as well as the quality of that insurance, that matters.","These are three functions for Demand, applied to cars in the passage but applicable to other goods as well. The Demand function depends on price, and each of the three equations is a demand function given a different price. This is important because it shows that price is not a linear relationship across all possible prices, so for some types of consumers, no matter what the price is (within reason), there may be little to no demand",The price,I forget,This is the utility function for the second type of car dealer. It's important because it has the 3/2 weighting on the car quality,M is preference for other goods besides cars,x is preference for car quality,It sums over multiple types of cars,Session One,Yes,Not familiar at all,No,Somewhat disagree,Moderately difficult,50,"That a caste system, where individuals have a vested interest in staying in the system and participating in the production and trading of goods, can exist in an equilibrium state termed ""caste equilibrium"".","Akerlof supports this argument by first describing the setup of his caste system, then anticipating potential situations that could break the caste equilibrium, and explaining why those situations wouldn't be an issue. In setting up the caste system, Akerlof describes the different classes, types of labor, assumptions being made, and what an individual's incentive is within that system. In identifying potential disrupters to the caste equilibrium, Akerlof talks about an individual's ability to form coalitions, incentive to purchase multiple goods, and potential to become an outcast. In explaining all of this, Akerlof had several equations to support his argument that I didn't really understand.","There are the dominant, non-dominant, and outcast castes. The dominant and non-dominant castes are born into their caste, while one becomes an outcast by failing to do one's job in the caste one was born into. This matters to simplify the society in order to establish through equations that equilibrium can exist.","The purpose of this section is to show that if the castes are set up as Akerlof describes, that a caste equilibrium can exist. This is the entire argument of his paper. These principle can be applied to traffic patterns, where cars in a complex network of roads will eventually reach an equilibrium state where the time it takes to get from one point to another in the network stays relatively constant.",Akerlof included these examples in the introduction to show how the conditions of his caste setup were analogous to conditions in societies in the real world.,"The text is beginning to slip a bit for me, but I think this equation represents how the availability of three different types of labor affected each other.","I'm not quite sure, but I think it was the demand for labor in the society?","The right side represents different jobs and how they relate to one another. The general idea is that if there's more of one, there will be less of another.","Akerlof showed this claim by summing up the total wages a firm would have to pay when paying theta_sc for an individuals outcaste labor and showing that there wouldn't be enough wages left over for skilled and unskilled jobs, and for the firm to profit.",ALPHA2,Male,,2020,Bioengineering,Neuroscience,0,0,"I didn't really understand the texts, but I tried!"
2020-03-11 12:12:51,1738,ALPHA2,Session One,No,Slightly familiar,No,Strongly agree,Moderately difficult,25,That bad goods can push out an entire market so no sales occur.,"Creating two utility functions and solving out the math. I don't really understand this part at all, just that the final conclusion was that for price p, quality would be p/2 and there would hence be no trades even thought, for every price there would actually be people willing to trade.",The first one had a coefficient of one in its utility function. The second had a coefficient of 3/2. I think the first group also had all the cars and the 2nd group had none. I'm not sure why this mattered,It showed that low quality (and hence low-priced?) goods could cause a flow on effect that affects the whole market?,No clue.,I don't know.,Price of the car,Income of each group (including cars),This is a linear utility function. It's an integral part of the excerpt since the other arguments are based on calculations using it. For every additional car of value x_i there is 3/2x_i utility gained?,"Not sure, a base amount of utility?",Utility given by a car?,All cars owned?,Session Two,Yes,Slightly familiar,No,Strongly agree,Slightly difficult,55,That it is possible to break the caste system with a large enough coalition,"Using a model with skilled, unskilled, outcast labour and utility.",Skilled labour: Dominant case; unskilled labour: Nondominant cast: scavengers: Outcastes. This affects how much they are payed and how much they produce. People who buy from businesses that do not adhere to the labour division become outcasts,I'm not sure.,Maybe it was the idea that a collective can change the class system. As the collective became richer they became better respected.,"k* businesses producing k* different products can break the caste system provide k* is greater than the equation. Theta stands for the manufacturing capacity of u (unskilled), sc (outcast), or sk (skilled)",Number of businesses/products,I'm not sure. Utility?,I think he compared utility someone would receive from buying from this firm knowing that they would then become an outcast and receive a reduced wage?,LIMA1,Female,,2022,CS,,0,0,Wow this text was confusing
2020-03-11 12:13:26,1904,INDIA2,Session One,Yes,Moderately familiar,No,Strongly agree,Moderately difficult,66,"The argument of the paper is that when there is asymmetric information, all people do not engage in the market even though there are mutually beneficial transactions.","Akerlof supports this example by showing in two scenarios the number of cars bought under an information asymmetric world and a world with no information asymmetry. With information asymmetry, transactions that can be mutually beneficial are not completed, but without information asymmetry, all mutually beneficial transactions occur.","The two groups of traders gain different levels of utility from a car. One group is only willing to pay a price up to $1, while the other group is willing to pay any price up to $1.5 if they know the quality of the car",Akerlof won the prize because he showed how market failure can happen even when there are mutually beneficial trades that could occur. ,"There is information asymmetry for insurance companies when taking on new customers. Companies do not know the risk they are bearing, and so this information asymmetry causes this market failure.","1. When price is below 1, both traders are willing to buy cars, so total demand is just total combined income divided by price.
2. Between 1 and 3/2, only trader group 2 is willing to buy cars, so total demand is trader 2 income divided by price.",price of cars,income,"This is the utility function of traders two. Their total utility is utility from non-cars plus sum of utility from cars, with each car contribution 3/2 utils. This shows how much trader 2 is willing to pay for a car.",utility from non-cars,the car number,Sum of utility from car 1 to car N,Session Two,No,Not familiar at all,No,Somewhat agree,Extremely difficult,42,"If the productivity of outcastes reach a certain level, it can disrupt the market equilibrium within the caste and lead to outcastes bring used as a form of labor.","Akerlof shows a world where outcastes are not used, then shows how it is beneficial to use outcastes in the economy and how that disrupts the existing equilibrium.","People are placed into skilled, unskilled, and outcastes. Productivity of skilled is higher than unskilled, and this matters because the outcastes when incorporated into the economy can disrupt the equilibrium.","This can apply to the US economy, with skilled and unskilled labor as well as illegal immigration.",It shows how the stigma against the outcastes may go away if they become productive and profitable.,The number of firms is bigger than the output divided by some base level output.,number of firms,some base level of output for unskilled and skilled labor.,He looked at the profits of using skilled labor and compared that with a firm paying a higher wage.,ALPHA1,Male,,2022,Applied Math,,0,0,
2020-03-11 12:19:15,2125,LIMA1,Session Two,No,Not familiar at all,No,Strongly agree,Slightly difficult,65,"when there is symmetric information, or two groups have the same access to supply, there is a net increase in total utility","he considers two cases in which two groups want to buy cars but one case has symmetric vs asymmetric information, and calculates supply and demand in each case.",one group of traders has only amt x of utility per car and has access to the whole supply of cars whereas the other has 3x/2 utility per car and has no cars in case 1.,"Shows possible market losses when there are only few suppliers and asymmetric information, probably a common loss situation that no one had rigorously solved in the past.","insurers are not willing to offer insurance due to asymmetric information, leading to a market loss","this is the demand for cars in three different cases, when price is high, low, and between Y_1 and Y_2's willingness to buy",price of one car,the two groups,"utility = consumption of other goods + utility of N cars, is used to calculate group 2's demand for cars",utility from consumption of other goods,utility of 1 car,N cars,Session One,Yes,Slightly familiar,No,Strongly agree,Moderately difficult,60,"in a caste system with skilled, unskilled, and outcast workers, a better equilibrium can be reached if a group decides to use outcasts for skilled labor",he does a proof of this by showing that the firms could not make better profits by paying more to N or outcast workers. there are specific mathematical conditions given for the new equilibrium.,"there are two castes by birth, the N and D castes, and an outcast caste. The N caste performs skilled labor, the D caste performs unskilled labor, and the outcasts perform scavenging labor. Anyone from the N or D castes can be outcast by buying goods from a firm that does not follow the caste rules (i.e. hiring outcasts for skilled labor)","The caste-class equilibrium is defined so that he can later show that there is a better equilibrium to be achieved if individuals collude as a group, which may apply to monopolies, oligopolies, or cheating in any market. ",Not sure- perhaps merchants and usurers are able to use the idea of moving out of their castes/old equilibrium to gain better financial success.,"theta_sc is the production of a unit of labor for scavenging jobs, theta_sk is the production of a unit of labor for skilled jobs, theta_u is the same thing for unskilled jobs. this equation describes the conditions for the new equilibrium.",the group of k* people creating the new equilibrium,"conditions for the new equilibrium, modified version of the conditions for original (no group) equilibrium","He did a proof related to the original equilibrium, where the firms only pay theta_sk for skilled jobs, and modified it to show that with groups, firms can make a profit.",ALPHA2,Female,,2023,Computer Science,,60,10,
