num_ender_uses,lemons_session,lemons_ender,lemons_familiar,lemons_prior_read,lemons_completed,lemons_difficulty,lemons_percent_understand,lemons_main_argument,lemons_main_support,lemons_q1,lemons_q2,lemons_q3,lemons_q4,lemons_q41,lemons_q42,lemons_q43,lemons_q5,lemons_q51,lemons_q52,lemons_q53,lemons_q54,caste_session,caste_ender,caste_familiar,caste_prior_read,caste_completed,caste_difficulty,caste_percent_understand,caste_main_argument,caste_main_support,caste_q1,caste_q2,caste_q3,caste_q4,caste_q41,caste_q42,caste_q43,caste_q5,Gender - Selected Choice,Graduation Year,Concentration,Secondary (if applicable),control_minutes_reading,control_pages_reading,Any additional comments/concerns
9,1,1,1,0,5,2,40,5,3,2,3,1,5,3,1,1,3,2,1,0,0,0,0,1,0,5,1,30,5,0,5,0,0,0,0,0,0,0,Female,2020,Psychology,Computer Science,0,0,
3,0,1,1,0,5,2,40,5,4,3,0,1,5,3,1,1,4.5,2,1,0.5,1,1,0,1,0,5,2,45,5,5,5,3,5,4,3,0,1,3,Male,2020,Applied Math w/ CS,,180,10,
13,1,1,1,0,5,2,50,2,1,3,1,1,5,3,1,1,5,2,1,1,1,0,0,1,0,6,2,65,5,5,3,2,5,5,3,1,1,5,Female,2020,Computer Science,Energy & Environment,240,60,
2,0,1,1,0,6,3,60,4,2,4,3,3,5,3,1,1,5,2,1,1,1,1,0,1,0,5,3,70,5,2,5,4,3,2,2,0,0,4,Female,2020,Statistics,East Asian Studies,30,2,
6,1,1,5,1,5,4,70,5,5,4,4,5,5,3,1,1,3.5,1.5,1,0,1,0,0,1,0,2,2,40,5,3,5,4,4,1,1,0,0,4,Male,2020,Economics,East Asian Studies,100,20,
10,0,0,1,0,5,3,60,3,2,3,3,2,5,3,1,1,4,2,1,1,0,1,1,1,0,2,2,45,5,5,5,3,4,2,2,0,0,3,Male,2020,CS,,120,30,welp
5,0,1,2,0,5,2,60,4,4,4,3,3,5,3,1,1,4,1.5,1,0.5,1,1,0,1,0,1,2,30,5,3,3,1,2,1,1,0,0,5,Female,2022,Integrative Biology,,5,1,
15,0,0,1,0,6,2,30,2,0,0,0,1,3,2,1,0,1,0,0,0,1,1,1,1,0,2,3,60,5,3,3,0,4,1,1,0,0,0,Female,2021,Computer Science,English,0,0,
8,1,1,1,0,3,2,50,4,1,4,3,3,5,3,1,1,2.5,1.5,1,0,0,0,0,1,0,3,2,50,5,5,5,2,5,2,1,0,1,2,Male,2020,Mechanical Engineering + Computer Science,,120,30,
9,0,1,1,0,5,1,30,5,2,3,1,1,4,2,1,1,4.5,2,1,0.5,1,1,0,1,0,6,2,50,5,5,4,1,4,3,3,0,0,1,Female,2022,Computer Science/Neuroscience,Economics,0,0,
5,0,1,2,0,6,6,80,4,5,3,4,5,4,2,1,1,4.5,1.5,1,1,1,1,0,1,0,6,3,60,5,5,3,3,4,5,3,1,1,4,Male,2022,applied mathematics / economics,,240,150,"i skim a lot of papers, i try not to get bogged down in the math so much

i love the micro theory bent of this study! what a pleasant surprise "
2,0,0,1,0,5,2,31,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,3,3,40,5,4,4,4,0,1,1,0,0,1,Female,2023,computer science,,0,0,
